0	○
1	飢
2	何
3	瀯
4	枓
5	死
6	鞅
7	腫
8	敍
9	翟
10	岾
11	屛
12	帛
13	帨
14	鯤
15	亭
16	琠
17	等
18	量
19	箕
20	閻
21	沮
22	砬
23	刎
24	嫗
25	啣
26	隨
27	諮
28	躍
29	矧
30	僇
31	茫
32	淃
33	姉
34	陞
35	琁
36	閔
37	底
38	垈
39	穢
40	刃
41	仕
42	醓
43	甦
44	求
45	碌
46	旨
47	怖
48	焦
49	縫
50	制
51	叱
52	擔
53	爬
54	潢
55	晶
56	樹
57	抉
58	獫
59	銜
60	亂
61	漚
62	莢
63	滺
64	硝
65	需
66	括
67	阭
68	饗
69	你
70	罫
71	樲
72	烝
73	騏
74	墠
75	暬
76	慇
77	由
78	譬
79	數
80	恝
81	鈕
82	悽
83	魚
84	揚
85	穰
86	除
87	垸
88	架
89	桴
90	有
91	胚
92	禁
93	收
94	寇
95	跲
96	廢
97	駕
98	嬛
99	敹
100	竭
101	驕
102	鼉
103	枇
104	戾
105	蔯
106	亘
107	煖
108	瀉
109	闖
110	廩
111	曇
112	臺
113	虡
114	挻
115	華
116	揣
117	紙
118	塚
119	盃
120	蕎
121	慶
122	嘔
123	覈
124	到
125	鮀
126	遣
127	夬
128	簪
129	佇
130	倦
131	簋
132	左
133	梗
134	誕
135	挫
136	蠡
137	鵙
138	鎌
139	楚
140	經
141	停
142	貰
143	猾
144	贐
145	篁
146	鳥
147	曳
148	敷
149	蘉
150	闈
151	苯
152	入
153	嗣
154	杜
155	稿
156	媚
157	多
158	絞
159	牖
160	聃
161	淋
162	淺
163	舞
164	沾
165	慂
166	賚
167	韔
168	穿
169	社
170	評
171	畝
172	襄
173	伶
174	皓
175	讎
176	掃
177	菀
178	莧
179	居
180	髦
181	贈
182	鈴
183	駵
184	熇
185	竈
186	亶
187	崗
188	浹
189	悸
190	誼
191	泲
192	珊
193	邠
194	寄
195	匊
196	龍
197	買
198	閘
199	儐
200	鬻
201	喟
202	倖
203	呦
204	臝
205	蔥
206	俾
207	斲
208	瓔
209	坧
210	卑
211	薖
212	寓
213	汭
214	酗
215	岍
216	贏
217	彼
218	頎
219	荳
220	霾
221	梃
222	因
223	瘍
224	蓂
225	汜
226	李
227	情
228	歪
229	蚩
230	跆
231	鸛
232	雊
233	朱
234	蛭
235	兢
236	贊
237	鏑
238	杏
239	瞥
240	絪
241	圮
242	桂
243	洚
244	基
245	乖
246	憶
247	碑
248	膾
249	膨
250	刑
251	疆
252	燐
253	添
254	螓
255	篒
256	衽
257	苒
258	蝸
259	紓
260	豺
261	下
262	打
263	洫
264	梢
265	易
266	殖
267	炎
268	騧
269	舟
270	乭
271	鋪
272	駓
273	頑
274	缾
275	呑
276	檟
277	癡
278	苺
279	挹
280	發
281	秉
282	搜
283	財
284	形
285	艱
286	愷
287	蜚
288	稼
289	株
290	彰
291	撑
292	楸
293	墁
294	嵩
295	毫
296	梶
297	諴
298	椅
299	裝
300	焭
301	擧
302	瞋
303	榦
304	霄
305	盍
306	移
307	貌
308	雪
309	熟
310	群
311	粗
312	奬
313	療
314	常
315	紑
316	恢
317	刪
318	遹
319	衲
320	裟
321	演
322	𠃗
323	慰
324	柬
325	榴
326	纊
327	笠
328	眚
329	看
330	奐
331	凱
332	髓
333	瀋
334	尾
335	珖
336	哻
337	鶴
338	鉐
339	葦
340	旿
341	洪
342	瓜
343	吟
344	僛
345	券
346	懦
347	韆
348	晫
349	卵
350	倉
351	徼
352	穴
353	蠲
354	鋤
355	仳
356	眠
357	闡
358	訊
359	格
360	雖
